0.505,0.28
0.5053,0.28
0.5056,0.28
0.5059,0.28
0.5062,0.28
0.5066,0.28
0.5069,0.28
0.5072,0.28
0.5075,0.28
0.5078,0.28
0.5082,0.32
0.5085,0.28
0.5088,0.32
0.5091,0.28
0.5094,0.28
0.5098,0.28
0.5101,0.28
0.5104,0.32
0.5107,0.28
0.511,0.32
0.5114,0.28
0.5117,0.28
0.512,0.32
0.5123,0.28
0.5126,0.28
0.513,0.28
0.5133,0.28
0.5136,0.28
0.5139,0.28
0.5142,0.32
0.5146,0.32
0.5149,0.32
0.5152,0.28
0.5155,0.28
0.5158,0.32
0.5162,0.28
0.5165,0.32
0.5168,0.28
0.5171,0.28
0.5174,0.28
0.5178,0.28
0.5181,0.28
0.5184,0.28
0.5187,0.24
0.519,0.28
0.5194,0.28
0.5197,0.28
0.52,0.32
0.5203,0.28
0.5206,0.28
0.521,0.28
0.5213,0.28
0.5216,0.28
0.5219,0.32
0.5222,0.28
0.5226,0.28
0.5229,0.28
0.5232,0.28
0.5235,0.28
0.5238,0.28
0.5242,0.24
0.5245,0.28
0.5248,0.28
0.5251,0.28
0.5254,0.28
0.5258,0.28
0.5261,0.24
0.5264,0.28
0.5267,0.28
0.527,0.28
0.5274,0.28
0.5277,0.28
0.528,0.28
0.5283,0.28
0.5286,0.28
0.529,0.28
0.5293,0.28
0.5296,0.28
0.5299,0.28
0.5302,0.28
0.5306,0.28
0.5309,0.28
0.5312,0.28
0.5315,0.28
0.5318,0.28
0.5322,0.28
0.5325,0.32
0.5328,0.28
0.5331,0.32
0.5334,0.28
0.5338,0.28
0.5341,0.28
0.5344,0.28
0.5347,0.28
0.535,0.28
0.5354,0.32
0.5357,0.28
0.536,0.24
0.5363,0.28
0.5366,0.28
0.537,0.28
0.5373,0.28
0.5376,0.28
0.5379,0.32
0.5382,0.28
0.5386,0.28
0.5389,0.28
0.5392,0.32
0.5395,0.28
0.5398,0.24
0.5402,0.24
0.5405,0.28
0.5408,0.28
0.5411,0.28
0.5414,0.28
0.5418,0.28
0.5421,0.28
0.5424,0.28
0.5427,0.28
0.543,0.28
0.5434,0.28
0.5437,0.28
0.544,0.28
0.5443,0.24
0.5446,0.28
0.545,0.28
0.5453,0.28
0.5456,0.28
0.5459,0.28
0.5462,0.32
0.5466,0.28
0.5469,0.32
0.5472,0.28
0.5475,0.32
0.5478,0.28
0.5482,0.24
0.5485,0.28
0.5488,0.28
0.5491,0.28
0.5494,0.28
0.5498,0.28
0.5501,0.28
0.5504,0.28
0.5507,0.32
0.551,0.28
0.5514,0.28
0.5517,0.28
0.552,0.32
0.5523,0.28
0.5526,0.28
0.553,0.28
0.5533,0.28
0.5536,0.24
0.5539,0.32
0.5542,0.24
0.5546,0.28
0.5549,0.28
0.5552,0.28
0.5555,0.28
0.5558,0.28
0.5562,0.28
0.5565,0.28
0.5568,0.28
0.5571,0.28
0.5574,0.24
0.5578,0.32
0.5581,0.28
0.5584,0.28
0.5587,0.24
0.559,0.28
0.5594,0.28
0.5597,0.28
0.56,0.28
0.5603,0.28
0.5606,0.28
0.561,0.28
0.5613,0.28
0.5616,0.28
0.5619,0.28
0.5622,0.24
0.5626,0.28
0.5629,0.24
0.5632,0.28
0.5635,0.28
0.5638,0.28
0.5642,0.24
0.5645,0.28
0.5648,0.28
0.5651,0.28
0.5654,0.28
0.5658,0.28
0.5661,0.28
0.5664,0.28
0.5667,0.32
0.567,0.28
0.5674,0.28
0.5677,0.28
0.568,0.32
0.5683,0.28
0.5686,0.28
0.569,0.28
0.5693,0.28
0.5696,0.28
0.5699,0.28
0.5702,0.28
0.5706,0.28
0.5709,0.28
0.5712,0.24
0.5715,0.24
0.5718,0.24
0.5722,0.24
0.5725,0.28
0.5728,0.24
0.5731,0.28
0.5734,0.28
0.5738,0.24
0.5741,0.28
0.5744,0.28
0.5747,0.24
0.575,0.28
0.5754,0.28
0.5757,0.28
0.576,0.28
0.5763,0.24
0.5766,0.28
0.577,0.28
0.5773,0.28
0.5776,0.24
0.5779,0.28
0.5782,0.24
0.5786,0.28
0.5789,0.28
0.5792,0.28
0.5795,0.28
0.5798,0.28
0.5802,0.28
0.5805,0.28
0.5808,0.28
0.5811,0.28
0.5814,0.28
0.5818,0.24
0.5821,0.28
0.5824,0.28
0.5827,0.28
0.583,0.28
0.5834,0.28
0.5837,0.24
0.584,0.28
0.5843,0.24
0.5846,0.28
0.585,0.28
0.5853,0.28
0.5856,0.28
0.5859,0.28
0.5862,0.28
0.5866,0.28
0.5869,0.24
0.5872,0.28
0.5875,0.24
0.5878,0.24
0.5882,0.28
0.5885,0.24
0.5888,0.28
0.5891,0.28
0.5894,0.28
0.5898,0.28
0.5901,0.24
0.5904,0.28
0.5907,0.28
0.591,0.28
0.5914,0.24
0.5917,0.24
0.592,0.24
0.5923,0.28
0.5926,0.28
0.593,0.28
0.5933,0.24
0.5936,0.24
0.5939,0.24
0.5942,0.24
0.5946,0.28
0.5949,0.28
0.5952,0.24
0.5955,0.24
0.5958,0.28
0.5962,0.28
0.5965,0.24
0.5968,0.28
0.5971,0.24
0.5974,0.28
0.5978,0.28
0.5981,0.28
0.5984,0.28
0.5987,0.24
0.599,0.28
0.5994,0.28
0.5997,0.24
0.6,0.24
0.6003,0.28
0.6006,0.24
0.601,0.28
0.6013,0.28
0.6016,0.28
0.6019,0.28
0.6022,0.28
0.6026,0.28
0.6029,0.28
0.6032,0.28
0.6035,0.24
0.6038,0.28
0.6042,0.28
0.6045,0.2
0.6048,0.28
0.6051,0.24
0.6054,0.28
0.6058,0.24
0.6061,0.28
0.6064,0.24
0.6067,0.28
0.607,0.24
0.6074,0.28
0.6077,0.28
0.608,0.28
0.6083,0.28
0.6086,0.24
0.609,0.28
0.6093,0.28
0.6096,0.28
0.6099,0.24
0.6102,0.28
0.6106,0.24
0.6109,0.24
0.6112,0.28
0.6115,0.24
0.6118,0.28
0.6122,0.28
0.6125,0.28
0.6128,0.24
0.6131,0.24
0.6134,0.28
0.6138,0.24
0.6141,0.24
0.6144,0.28
0.6147,0.24
0.615,0.24
0.6154,0.24
0.6157,0.28
0.616,0.28
0.6163,0.24
0.6166,0.24
0.617,0.28
0.6173,0.24
0.6176,0.24
0.6179,0.24
0.6182,0.28
0.6186,0.24
0.6189,0.24
0.6192,0.28
0.6195,0.24
0.6198,0.28
0.6202,0.24
0.6205,0.24
0.6208,0.24
0.6211,0.24
0.6214,0.24
0.6218,0.28
0.6221,0.24
0.6224,0.28
0.6227,0.28
0.623,0.24
0.6234,0.24
0.6237,0.24
0.624,0.24
0.6243,0.28
0.6246,0.28
0.625,0.28
0.6253,0.28
0.6256,0.24
0.6259,0.24
0.6262,0.24
0.6266,0.28
0.6269,0.28
0.6272,0.28
0.6275,0.24
0.6278,0.28
0.6282,0.28
0.6285,0.28
0.6288,0.28
0.6291,0.24
0.6294,0.28
0.6298,0.24
0.6301,0.28
0.6304,0.24
0.6307,0.24
0.631,0.24
0.6314,0.24
0.6317,0.28
0.632,0.24
0.6323,0.28
0.6326,0.24
0.633,0.28
0.6333,0.24
0.6336,0.24
0.6339,0.24
0.6342,0.24
0.6346,0.28
0.6349,0.28
0.6352,0.24
0.6355,0.28
0.6358,0.24
0.6362,0.24
0.6365,0.24
0.6368,0.24
0.6371,0.24
0.6374,0.28
0.6378,0.24
0.6381,0.24
0.6384,0.28
0.6387,0.24
0.639,0.24
0.6394,0.24
0.6397,0.24
